word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
آسان	مشکل	A	0.52	2.07	2.5	1	0.27	0	1.87
آسان	جھک جانے والا	A	4.1	2.07	2.64	1	0.27	0	1.08
صحیح	یقین	A	8.42	1.68	1.73	1	0.23	0	1.29
بہت ضروری	ضروری	A	8.97	1.52	1.8	1	0.21	0	1.11
مختلف	باقاعدہ	A	1.08	1.97	1.4	1	0.21	0	1.75
چالاک	ہوشیار	A	7.25	2.03	1.79	1	0.21	0	1.41
اہم	اہم	A	8.82	2.08	2.14	1	0.21	0	1.25
بد مزہ	بے رحم	A	8.18	2.23	2.11	1	0.21	0	1.66
بچوں جیسا	بے وقوف	A	5.5	2.52	1.84	1	0.21	0	1.45
تھوڑا	انوکھی	A	9.17	2.57	1.96	1	0.21	0	1.21
دوستانہ	دریا دل	A	5.9	2.32	2.25	1	0.21	0	0.6
نازک	اداس	A	2.38	2.86	3.28	2	0.21	0	0.84
لمبا	تنگ	A	3.57	3.18	3.04	2	0.21	0	1.62
بڑا	بھاری	A	6.18	3.66	3.37	2	0.21	0	1.54
اونچا اونچا	اداس	A	2.47	3.83	3.28	2	0.21	0	1.37
بے سروہا	عجیب	A	9.37	1.79	1.86	1	0.2	0	1.54
خلاف قانون	غیر اخلاقی	A	4.28	2.37	1.59	1	0.2	0	1.57
برا	مجرم	A	4.2	1.68	2.36	1	0.2	0	1.47
جدید	پرانا	A	0.73	2.31	2.04	1	0.2	0	0.71
نیا	پرانا	A	0.23	2.81	2.04	1	0.2	0	0.46
احمق	مزاحیہ	A	0.55	2.37	2.5	1	0.2	0	1.76
خوش	جوان	A	2.0	2.56	3.16	2	0.2	0	0.47
آسان	بڑا	A	1.12	2.07	3.66	2	0.2	0	1.22
عظیم	خوفناک	A	1.17	1.81	1.92	1	0.15	0	1.53
چھوٹا سا	بڑا	A	0.6	3.11	3.54	2	0.15	0	0.59
خوش اخلاق	درست	A	7.63	1.85	1.78	1	0.14	0	1.42
شائستہ	شرمندہ	A	2.65	2.21	1.74	1	0.14	0	1.0
اجنبی	انوکھی	A	8.05	2.11	1.96	1	0.14	0	0.93
گونگا	ہوشیار	A	1.17	2.36	1.79	1	0.14	0	1.3
خوش آئندہ	حیرت انگیز	A	8.65	2.38	1.82	1	0.14	0	1.29
قابل غور	واضع	A	8.48	2.29	2.07	1	0.14	0	1.69
ڈرا ہوا	پریشان کن	A	5.07	2.7	1.68	1	0.14	0	1.28
رسمی	درست	A	8.02	2.7	1.78	1	0.14	0	1.31
اداس	احمق	A	8.25	2.33	2.37	1	0.14	0	1.85
خوش آئندہ	خوش	A	6.58	2.38	2.34	1	0.14	0	1.56
بد قسمت	پاگل	A	5.95	2.04	2.76	1	0.14	0	1.36
اداس	خوفناک	A	5.4	3.07	2.04	1	0.14	0	0.44
بیمار	پاگل	A	3.57	2.97	2.37	2	0.14	0	0.95
شدید	غصہ میں	A	6.98	3.1	2.53	2	0.14	0	1.55
بھاری	بھاری	A	5.9	2.96	3.37	2	0.14	0	1.28
غلیظ	ناقص	A	1.6	4.23	2.11	2	0.14	0	1.1
زندہ دل	جھک جانے والا	A	7.78	3.73	2.64	2	0.14	0	1.09
مشکل	احمق	A	5.9	3.76	3.14	2	0.14	0	1.0
تازہ	نیا	A	7.05	2.5	2.81	2	0.13	0	1.05
دلیر	خودپسند	A	3.97	2.43	2.07	1	0.12	0	1.36
چالاک	عجیب	A	1.97	2.03	1.86	1	0.0	0	1.07
عجیب	چالاک	A	2.07	1.86	2.03	1	0.0	0	0.51
گونگا	انوکھی	A	0.48	2.36	1.96	1	0.0	0	1.55
چالاک	مشکل	A	0.58	2.03	2.5	1	0.0	0	1.01
اچھا	پاگل	A	0.4	2.07	2.76	1	0.0	0	0.86
شائستہ	جھک جانے والا	A	0.98	2.21	2.64	1	0.0	0	1.89
تازہ	چوڑا	A	0.4	1.97	3.06	1	0.0	0	1.41
بڑا	گونگا	A	0.48	3.54	2.36	2	0.0	0	0.91
بڑا	جھک جانے والا	A	0.48	3.37	2.64	2	0.0	0	1.59
غلیظ	تنگ	A	0.3	4.23	3.04	2	0.0	0	0.89
بیوی	خاوند	N	2.3	4.13	4.11	3	8.85	1	0.84
کتاب	متن	N	6.35	4.9	4.93	4	8.81	1	1.43
دولہا	دلہن	N	3.17	4.54	4.63	3	8.65	1	0.68
رات	دن	N	1.88	4.52	3.92	3	8.19	1	1.17
جنوب	شمال	N	2.2	3.84	4.14	3	7.72	1	0.59
جہاز	ہوائی اڈہ	N	3.65	4.92	4.87	4	7.57	1	1.07
چاچا	چچی	N	5.5	4.24	4.17	3	7.46	1	1.63
گھوڑا	گھوڑی	N	8.33	5.0	4.75	4	7.4	1	0.73
اصلیت	اونچا	N	0.7	4.25	3.93	3	6.96	1	1.16
دوست	دوست	N	8.78	3.07	3.48	2	6.87	1	0.93
طالب علم	شاگرد	N	9.35	4.92	4.55	3	6.83	1	1.11
دنیا	زمین	N	6.67	4.36	4.59	3	6.79	1	0.67
ٹانگ	بازو	N	2.88	4.83	4.96	4	6.73	1	0.79
جہاز	سنگ موسی	N	8.1	4.92	4.77	4	6.62	1	1.24
عورت	آدمی	N	3.33	4.46	4.79	3	6.6	1	1.42
گھوڑا	احمق اناڑی	N	7.07	5.0	4.96	4	6.54	1	0.84
اداکارہ	اداکار	N	7.12	4.54	4.57	3	5.78	1	1.3
استاد	استاد	N	9.25	4.52	4.26	3	5.66	1	1.53
فلم	فلم	N	8.87	4.59	4.71	3	5.43	1	1.72
پرندہ	باز	N	7.85	5.0	4.93	4	5.29	1	0.91
لفظ	لغت	N	3.68	3.56	4.62	3	5.2	1	1.56
دولت	تنخواہ	N	7.88	4.54	3.69	3	5.16	1	1.11
کتا	بلی	N	1.75	4.85	4.86	4	5.13	1	1.3
حصہ	خطہ	N	9.47	3.72	3.19	2	5.12	1	0.58
بحریہ	فوج	N	6.43	3.93	4.7	3	5.0	1	0.53
کتاب	ادبی	N	7.53	4.9	4.1	3	4.86	1	0.45
کپڑے	خلوت خانہ	N	3.27	4.76	4.83	4	4.83	1	1.29
غروب آفتاب	طلوع آفتاب	N	2.47	4.54	4.69	3	4.8	1	1.12
بچہ	بالغ	N	2.98	4.78	4.4	3	4.59	1	1.48
گائے	بھیڑ بکری	N	9.52	4.96	4.64	4	4.39	1	0.79
کتاب	کہانی	N	5.63	4.9	3.3	3	4.19	1	0.78
سردی	گرمی	N	2.38	3.84	3.64	3	3.96	1	0.47
ٹیکسی	یکہ گاڑی	N	9.2	4.93	4.88	4	3.86	1	1.23
درخت	ایک درخت جس سے شکر ملتی ہے	N	5.53	5.0	4.46	3	3.67	1	1.19
بستر	بیڈروم	N	3.4	5.0	4.9	4	3.53	1	1.25
چھت	چھت	N	7.58	4.79	4.85	4	3.5	1	0.77
بیماری	آلودگی	N	7.15	3.45	4.1	3	3.45	1	1.08
بازو	کندھا	N	4.85	4.96	4.93	4	3.35	1	1.81
بھیڑ	برا	N	8.42	4.9	4.97	4	3.33	1	1.51
عورت	آدمی	N	3.42	4.33	3.57	3	3.29	1	1.08
کشتی	لنگر	N	2.25	4.93	4.77	4	3.25	1	1.1
پادری	زاہد	N	6.28	4.77	4.35	3	3.23	1	0.61
انگشت	انگشت	N	4.68	4.93	5.0	4	3.22	1	0.55
دریا	چشمہ	N	7.3	4.89	4.5	3	3.21	1	0.81
غصہ	غصہ	N	8.73	2.41	2.89	2	3.06	1	1.89
تاریخ	کیلنڈر	N	4.42	3.9	4.62	3	3.05	1	1.5
سمندر	سمندر	N	8.27	4.79	4.86	4	2.91	1	1.3
دوسرا	منٹ	N	4.62	3.3	3.04	2	2.84	1	1.15
ہاتھ	اناڑی پن سے بجانا	N	3.88	4.72	4.96	4	2.84	1	0.44
لکڑی	لٹھا	N	7.3	4.85	4.96	4	2.79	1	0.87
دلدل	خاک	N	7.32	4.86	4.86	4	2.76	1	0.48
بَرآمدہ	غلام گردش	N	9.28	4.74	4.72	3	2.7	1	0.76
راستے	آداب و رسوم	N	7.62	2.34	1.62	1	2.56	1	0.44
چوہا	بلی	N	1.12	4.83	4.86	4	2.56	1	1.02
پولیس	ناظم عدالت	N	9.05	4.3	4.5	3	2.54	1	1.55
موت	تجہیز و تکفین	N	4.93	3.73	3.93	3	2.46	1	1.88
موسیقی	ترانہ	N	6.98	4.31	3.71	3	2.43	1	1.36
بیئر	الغول	N	7.5	4.88	4.76	4	2.4	1	1.07
منہ	لب	N	7.1	4.74	4.96	4	2.28	1	1.4
آندھی	طوفانی آندھی	N	6.38	4.7	4.59	3	2.27	1	0.9
ٹیکس	آمدنی	N	2.38	3.89	3.07	2	2.25	1	1.15
پھول	بنفشہ	N	6.95	5.0	4.48	4	2.22	1	1.72
کاغذ	بے وُقعت	N	5.38	4.93	4.9	4	2.2	1	1.22
تہہ زمین	چھت	N	1.73	4.8	4.85	4	2.18	1	0.97
سمندر کے کنارے	ساحِل	N	8.33	4.79	4.63	3	2.15	1	0.47
چھڑی	پردہ	N	3.03	4.43	4.82	3	2.13	1	0.39
اکسانا	لومڑی	N	2.38	4.48	4.97	3	2.13	1	1.36
گلی	پٹری	N	5.48	4.75	4.82	4	2.07	1	1.62
کشتی	جہاز کی چھت	N	4.28	4.93	4.77	4	2.04	1	1.39
کار	سینگ	N	2.57	4.89	5.0	4	2.04	1	0.79
دوست	مہمان	N	4.25	3.07	3.83	2	1.97	1	1.41
مالک	ملازم	N	3.65	3.81	4.1	3	1.96	1	0.95
ہاتھ	ساعد	N	3.97	4.72	4.93	4	1.96	1	1.32
گیند	توپ	N	2.58	5.0	4.79	4	1.96	1	1.82
الغول	برانڈی	N	6.98	4.76	4.81	4	1.93	1	0.57
فتح	کامیابی	N	8.98	2.55	2.17	1	1.9	1	0.94
آواز کو دور تک پہنچانے کا آلہ	عارضی دکان	N	3.63	4.96	4.42	3	1.88	1	1.1
دروازہ	دروازھ	N	5.4	4.81	4.75	4	1.88	1	1.86
قیام گاہ	سرائے	N	8.17	4.93	4.64	4	1.86	1	0.39
کپڑے	کپڑا	N	5.47	4.76	4.9	4	1.82	1	1.43
پسندہ	گوشت	N	7.47	4.96	4.9	4	1.81	1	1.34
نائل	اناڑی پن سے بجانا	N	3.55	4.93	4.96	4	1.76	1	1.16
بینڈ	آرکسٹرا	N	7.08	4.68	4.79	4	1.75	1	1.36
کتاب	توریت اور انجیل کا مجموعہ	N	5.0	4.9	4.61	4	1.74	1	1.43
کاروبار	صنعت	N	7.02	3.28	3.29	2	1.73	1	1.1
سردی	موسم	N	6.27	3.84	3.32	2	1.71	1	1.76
دہائی	سو برس	N	3.48	3.19	2.83	2	1.64	1	1.36
الغول	ایک قسم کی شراب	N	8.65	4.76	4.46	3	1.64	1	1.17
دھوپ کی ٹوپی	کوٹ	N	2.67	4.88	4.97	4	1.62	1	1.76
کھڑکی	دروازہ	N	3.33	4.86	4.81	4	1.56	1	1.6
بازو	ساعد	N	3.57	4.96	4.93	4	1.55	1	1.33
گھر	حجرہ	N	5.8	5.0	4.9	4	1.54	1	1.4
آئینہ	بلور	N	6.27	4.82	4.58	3	1.52	1	1.48
شراب	برانڈی	N	5.15	4.79	4.81	4	1.52	1	1.67
خالق	بنانے والا	N	9.62	3.07	3.9	2	1.51	1	1.4
رات کا کھانا	ناشتہ	N	3.33	4.5	4.43	3	1.49	1	1.72
بازو	پٹھا	N	3.72	4.96	4.5	3	1.45	1	0.83
بلبلا	صابن کی جھاگ	N	8.57	4.6	4.59	3	1.42	1	1.59
روٹی	آٹا	N	3.33	4.92	4.97	4	1.42	1	1.25
موت	المیہ ناٹک	N	5.8	3.73	2.07	2	1.41	1	1.13
پیچھے	موجودگی	N	0.4	2.31	2.72	1	1.38	1	1.5
بندوق	توپ	N	5.68	4.83	4.79	4	1.35	1	1.56
جھاڑنا	برگ	N	4.57	4.93	4.93	4	1.34	1	1.53
گیند	ٹوکرا	N	1.67	5.0	5.0	4	1.33	1	1.08
جراب	باغ	N	1.67	4.87	4.73	4	1.32	1	1.1
لڑکا	بچہ	N	7.5	4.76	4.56	3	1.28	1	1.44
گرجا	سرود گاہ	N	2.95	4.9	4.34	3	1.27	1	1.43
کپڑے	تنگ	N	3.02	4.76	4.67	3	1.27	1	1.49
برج	گھنٹی	N	1.9	4.76	4.96	4	1.22	1	1.41
والد	والدین	N	7.07	4.52	4.56	3	1.19	1	1.06
اسکول	گریڈ	N	4.42	4.79	3.0	3	1.18	1	1.32
والدین	بالغ	N	5.37	4.56	4.4	3	1.15	1	1.6
بار	جیل	N	1.9	4.67	4.83	4	1.15	1	1.12
کار	شاہراہ	N	3.4	4.89	4.72	4	1.15	1	1.77
لغت	تعریف	N	6.25	4.62	3.07	3	1.14	1	1.06
دروازہ	سرداب	N	1.97	4.81	4.68	4	1.13	1	1.47
فوج	بڑا لشکر	N	5.95	4.7	2.69	2	1.11	1	1.29
دھات	ایک قسم کی ہلکی دھات	N	7.25	4.87	4.88	4	1.1	1	1.76
کرسی	بنچ	N	6.67	4.58	4.87	3	1.09	1	1.22
بادل	دھند	N	6.0	4.54	4.66	3	1.05	1	1.04
لڑکا	بیٹا	N	6.75	4.76	4.14	3	1.03	1	0.88
پانی	برف	N	6.47	5.0	4.89	4	1.03	1	1.66
بستر	دھسا	N	3.02	5.0	5.0	4	1.02	1	1.48
وکیل	وکیل	N	9.35	4.52	4.7	3	1.01	1	1.4
حصہ	علاقہ	N	8.33	3.72	3.07	2	0.97	1	0.89
کاروبار	کمپنی	N	9.02	3.28	4.11	3	0.97	1	0.47
کپڑے	شکل	N	5.87	4.76	4.63	3	0.96	1	1.66
پسینہ نکالنے یا پونچھنے والا	چھوٹا کوٹ	N	7.15	4.78	4.86	4	0.96	1	1.13
دولت	اصل	N	6.67	4.54	4.1	3	0.95	1	0.97
ہاتھ	پاؤں	N	4.17	4.72	4.9	4	0.95	1	1.41
الغول	کاک ٹیل	N	6.73	4.76	4.4	3	0.93	1	1.2
آنگن	انچ	N	3.78	4.82	4.37	3	0.93	1	1.4
مالیکیول	ایٹم	N	6.45	3.27	3.34	2	0.92	1	1.56
عینک کا شیشہ	کیمرا	N	4.28	4.64	5.0	4	0.9	1	1.89
کھانا	رات کا کھانا	N	7.15	4.62	4.5	3	0.88	1	2.0
آنکھ	آنسو	N	3.55	4.9	4.56	3	0.88	1	1.48
خدا	شیطان	N	1.8	2.07	3.41	2	0.87	1	1.1
نصاب	پیٹی	N	3.1	4.26	4.9	3	0.87	1	1.74
چوہا	چوہا	N	7.78	4.85	4.83	4	0.87	1	0.93
موٹر	انجن	N	8.65	4.84	4.86	4	0.87	1	1.47
کار	یکہ گاڑی	N	7.42	4.89	4.88	4	0.87	1	1.15
بلی	شیر	N	6.75	4.86	4.96	4	0.85	1	0.84
سائز	عظمت	N	6.33	3.13	2.43	2	0.84	1	0.59
حقیقت	تصورات پیدا کرنے والی طاقت	N	1.03	1.72	1.59	1	0.83	1	0.89
دروازہ	راستہ	N	5.25	4.81	4.96	4	0.83	1	1.47
بلی	پالتو جانور	N	5.95	4.86	4.71	4	0.82	1	1.41
پتلی چادر	ایک قسم کی ہلکی دھات	N	6.42	4.87	4.88	4	0.82	1	1.3
ہڈی	جبڑا	N	4.17	4.9	4.87	4	0.82	1	0.44
اناج	گندم	N	3.75	4.83	4.89	4	0.81	1	1.72
گھر	چابی	N	1.9	5.0	4.89	4	0.8	1	1.09
خون	گوشت	N	4.28	4.86	4.59	3	0.79	1	1.74
دروازہ	غلام گردش	N	3.73	4.81	4.72	4	0.79	1	1.11
خدا	روح	N	7.3	2.07	1.6	1	0.77	1	1.63
بل	فراغت	N	7.62	1.93	1.78	1	0.77	1	0.84
کثرت	بہت	N	8.97	2.21	2.39	1	0.77	1	1.02
صوفا	کرسی	N	6.67	4.9	4.58	4	0.77	1	1.56
دیوار	اینٹ	N	4.68	4.86	4.83	4	0.77	1	1.16
سینگ	ڈھول بجا کر منادی کرنا	N	2.68	5.0	4.96	4	0.77	1	0.47
آلہ	جگر	N	6.15	4.77	4.68	3	0.76	1	1.12
طاقت	شاید	N	7.07	2.96	2.32	2	0.74	1	0.8
جملہ	لفظ	N	5.48	2.86	3.56	2	0.74	1	1.73
بینڈ	پریڈ	N	3.92	4.68	4.54	3	0.74	1	1.74
پیٹ	میان	N	5.9	4.89	4.72	4	0.74	1	1.49
بادل	آندھی	N	5.6	4.54	4.7	3	0.73	1	1.47
خوشی	فخر	N	5.0	2.37	1.66	1	0.72	1	0.9
بانگ آواز	چھن چھن کرنا	N	6.17	3.52	4.07	3	0.72	1	1.33
بارش	پردہ	N	5.97	4.97	4.51	4	0.71	1	1.83
بیئر	مشروب	N	5.42	4.88	4.6	4	0.71	1	1.34
آدمی	چاچا	N	3.92	4.79	4.24	3	0.7	1	1.36
سیب	رس	N	2.88	5.0	4.89	4	0.7	1	1.65
انٹیلی جینس	منطق	N	6.5	2.24	1.72	1	0.68	1	1.2
رابطہ	زبان	N	7.47	2.9	2.35	2	0.68	1	1.09
آبی نیولا	فر	N	6.83	4.58	4.69	3	0.68	1	0.39
انبوہ گردی کرنا	بھرجانا	N	7.85	3.88	4.52	3	0.67	1	1.2
دریا کا کنارہ	ساحل	N	8.83	4.79	4.21	3	0.67	1	1.53
تار	رسی	N	7.62	4.72	4.63	3	0.67	1	1.35
پرندہ	ایک قسم کا مرغ	N	6.58	5.0	4.89	4	0.67	1	1.6
بستر	بند کرنا	N	7.3	5.0	4.86	4	0.65	1	1.56
فراغت	قابلیت	N	7.5	1.78	1.81	1	0.63	1	0.6
بادل	دھند	N	7.32	4.54	4.04	3	0.63	1	1.68
رات کا کھانا	کھانا	N	7.53	4.63	4.62	3	0.63	1	0.47
بار	پنجرا	N	2.8	4.67	5.0	4	0.63	1	0.51
پانی	نمک	N	1.3	5.0	4.89	4	0.63	1	0.94
سمجھ	ادراک	N	7.68	2.61	1.67	1	0.62	1	1.24
صورت حال	حالت	N	6.58	2.03	2.15	1	0.61	1	1.41
جرم	چوری	N	7.53	3.03	2.93	2	0.61	1	1.32
انداز	فیشن	N	8.5	2.67	3.43	2	0.61	1	0.87
حد بندی کرنے والی چیز	بارڈر	N	9.08	3.04	4.29	2	0.61	1	0.44
بازو	جسم	N	4.05	4.96	4.79	4	0.61	1	0.51
کشتی	کار	N	2.37	4.93	4.89	4	0.61	1	1.17
سینڈوچ	دوپہر کا کھانا	N	6.3	4.9	4.31	3	0.58	1	1.53
دلہن	شہزادی	N	2.8	4.63	4.72	3	0.58	1	0.92
شجاع	ہیرو	N	8.78	4.21	3.07	2	0.56	1	1.79
کار	باران پیما	N	1.13	4.89	4.0	3	0.56	1	1.47
کیڑے	مکھی	N	6.07	4.89	4.88	4	0.55	1	1.34
بند کرنا	بچپن	N	8.55	4.86	4.93	4	0.55	1	1.15
جانور	شخص	N	3.05	4.61	4.72	3	0.54	1	1.38
بھنگ	جڑی بوٹی	N	6.5	4.89	4.57	3	0.54	1	0.59
بستر	ہسپتال	N	0.92	5.0	4.64	4	0.54	1	1.35
رخسار	زبان	N	4.52	4.83	4.93	4	0.54	1	0.47
پتلی چِپٹی گول شے قرص	کمپیوٹر	N	3.2	4.85	4.93	4	0.54	1	0.44
خمیدہ ہونا	زاویہ	N	3.33	4.41	3.5	3	0.53	1	1.51
جھاڑنا	دلدل	N	5.0	4.93	4.9	4	0.53	1	1.27
اسکول	قانون	N	1.13	4.79	2.57	2	0.52	1	1.49
پاؤں	سر	N	2.3	4.9	4.75	4	0.52	1	0.62
ماں	امین	N	6.5	4.6	3.28	3	0.51	1	1.13
orthodo notist	دندان ساز	N	8.27	4.43	4.93	3	0.51	1	1.47
الغول	وسکی	N	7.27	4.76	4.74	4	0.51	1	1.19
منہ	دانت	N	6.3	4.74	4.89	4	0.51	1	1.39
ناشتہ	سور کا نمکین گوشت	N	4.37	4.43	4.9	3	0.5	1	1.46
غسل خانہ	بیڈروم	N	3.4	4.52	4.9	3	0.5	1	1.73
برتن	پیمانہ	N	5.23	4.77	4.87	4	0.5	1	1.46
گوشت	سور کا نمکین گوشت	N	5.8	4.9	4.9	4	0.5	1	1.5
ہوا	ہیلیم	N	3.63	4.11	3.96	3	0.49	1	1.59
ملازم	مالک	N	5.37	4.59	3.81	3	0.49	1	1.4
جسم	چھاتی	N	4.45	4.79	4.93	4	0.49	1	1.45
بیٹا	والد	N	3.82	4.14	4.52	3	0.48	1	1.75
دل	سرجری	N	1.08	4.52	4.34	3	0.48	1	1.07
عورت	سیکرٹری	N	1.98	4.46	4.54	3	0.48	1	1.6
آدمی	والد	N	4.83	4.79	4.52	3	0.48	1	1.62
سمندر کے کنارے	جزیرہ	N	5.6	4.79	4.96	4	0.48	1	0.39
کہانی	مضمون	N	5.0	3.3	2.59	2	0.47	1	1.7
کھیل	مذاق	N	3.42	4.5	1.97	2	0.47	1	2.07
ہفتہ کا آخری دن	ہفتہ	N	4.0	3.83	3.48	2	0.47	1	1.57
جوڑا	جوڑا	N	8.33	3.93	3.88	3	0.47	1	1.5
عورت	بیوی	N	5.72	4.46	4.13	3	0.47	1	1.35
بھیڑ	بھیڑ بکری	N	4.77	4.9	4.64	4	0.47	1	0.47
بٹوہ	بورا	N	8.33	4.9	4.9	4	0.47	1	1.39
چھت	بڑا گرجا	N	2.42	4.85	4.86	4	0.46	1	1.57
باقلا	کافی	N	5.15	5.0	4.81	4	0.46	1	1.52
لکڑی	کاغذ	N	2.88	4.85	4.93	4	0.44	0	1.55
اونچا	طرف	N	1.9	3.93	3.68	3	0.43	0	1.29
جرم	دھوکہ	N	5.65	3.03	1.68	1	0.42	0	1.18
درد	نقصان	N	5.38	3.5	2.62	2	0.42	0	0.95
عاشق	ساتھی	N	5.97	3.68	3.75	3	0.42	0	0.8
شام	تاریک	N	7.78	3.26	4.24	3	0.42	0	1.32
والد	بیٹی	N	2.62	4.52	4.79	3	0.42	0	1.69
شراب	شراب	N	7.85	4.79	4.73	4	0.42	0	0.78
گائے	بکرا	N	2.93	4.96	5.0	4	0.42	0	0.59
اعتبار	رائے	N	7.7	1.19	1.93	1	0.41	0	1.24
حقیقت	دھوکا	N	1.42	1.72	2.48	1	0.41	0	1.36
صلح نامہ	معاہدہ	N	9.02	2.52	2.22	1	0.41	0	1.2
دولت	غربت	N	1.27	2.63	2.54	1	0.41	0	1.47
حادثہ	ہنگامی	N	4.93	3.26	2.41	2	0.41	0	0.49
جنگ	ظفر	N	7.22	4.0	2.54	2	0.41	0	0.89
دوست	استاد	N	2.62	3.07	4.52	3	0.41	0	1.29
بیماری	آلودگی	N	6.9	3.54	4.1	3	0.41	0	1.28
کھیل	بری حرکت	N	2.32	4.5	3.36	3	0.41	0	1.02
بھائی	بیٹا	N	3.48	4.43	4.14	3	0.41	0	1.61
چچی	بھانجا	N	3.1	4.17	4.48	3	0.41	0	1.31
ملازم	دست کاری	N	4.92	4.59	4.38	3	0.41	0	1.2
ڈاکٹر	orthodo notist	N	5.58	4.69	4.43	3	0.41	0	1.25
بلوط	ایک درخت جس سے شکر ملتی ہے	N	6.03	4.82	4.46	3	0.41	0	0.39
مکھی	ملکہ	N	3.27	4.88	4.45	3	0.41	0	1.2
کار	بائی سائیکل	N	3.47	4.89	4.89	4	0.41	0	1.68
مقصد	تحقیقات	N	5.83	3.06	2.87	2	0.4	0	1.31
اگست	ماہ	N	5.53	3.04	4.2	2	0.4	0	1.54
فوج	دستہ	N	5.08	4.7	3.65	3	0.4	0	1.61
بادل	موسم	N	4.87	4.54	3.83	3	0.4	0	0.94
